

_v(/vg)_\-12
0 10 -12 0.2384
1 30 -12 0.2384
2 50 -12 0.2384
3 70 -12 0.2384
4 90 -12 0.2384
5 110 -12 0.238405
6 130 -12 0.238602
7 150 -12 0.241677
8 170 -12 0.266511
9 190 -12 0.391569
10 210 -12 0.827042
11 230 -12 1.94265
12 250 -12 4.15278
13 270 -12 7.72094
14 290 -12 12.6997
15 310 -12 18.9692
16 330 -12 26.3617
17 350 -12 34.7142
18 370 -12 43.8897
19 390 -12 53.7797


_v(/vg)_\-10
20 10 -10 0.2384
21 30 -10 0.2384
22 50 -10 0.2384
23 70 -10 0.2384
24 90 -10 0.238404
25 110 -10 0.238704
26 130 -10 0.245183
27 150 -10 0.305935
28 170 -10 0.621011
29 190 -10 1.64711
30 210 -10 3.94212
31 230 -10 7.81043
32 250 -10 13.2285
33 270 -10 19.9765
34 290 -10 27.8274
35 310 -10 36.5944
36 330 -10 46.1366
37 350 -10 56.3491
38 370 -10 67.1534
39 390 -10 78.4895


_v(/vg)_\-8
40 10 -8 0.2384
41 30 -8 0.2384
42 50 -8 0.2384
43 70 -8 0.238403
44 90 -8 0.23898
45 110 -8 0.257296
46 130 -8 0.449836
47 150 -8 1.37509
48 170 -8 3.82502
49 190 -8 8.12454
50 210 -8 14.0871
51 230 -8 21.3625
52 250 -8 29.678
53 270 -8 38.8423
54 290 -8 48.7236
55 310 -8 59.2288
56 330 -8 70.2892
57 350 -8 81.8527
58 370 -8 93.8778
59 390 -8 106.331


_v(/vg)_\-6
60 10 -6 0.2384
61 30 -6 0.2384
62 50 -6 0.238402
63 70 -6 0.240165
64 90 -6 0.323203
65 110 -6 1.13727
66 130 -6 3.88267
67 150 -6 8.79788
68 170 -6 15.3901
69 190 -6 23.1961
70 210 -6 31.9422
71 230 -6 41.4591
72 250 -6 51.6359
73 270 -6 62.395
74 290 -6 73.6785
75 310 -6 85.4415
76 330 -6 97.6482
77 350 -6 110.269
78 370 -6 123.278
79 390 -6 136.655


_v(/vg)_\-4
80 10 -4 0.2384
81 30 -4 0.238403
82 50 -4 0.253484
83 70 -4 0.969098
84 90 -4 4.31138
85 110 -4 10.0223
86 130 -4 17.2303
87 150 -4 25.4945
88 170 -4 34.5956
89 190 -4 44.4018
90 210 -4 54.8242
91 230 -4 65.7983
92 250 -4 77.2744
93 270 -4 89.2131
94 290 -4 101.582
95 310 -4 114.354
96 330 -4 127.506
97 350 -4 141.018
98 370 -4 154.872
99 390 -4 169.053


_v(/vg)_\-2
100 10 -2 0.238951
101 30 -2 1.12106
102 50 -2 5.47818
103 70 -2 11.8772
104 90 -2 19.5332
105 110 -2 28.1323
106 130 -2 37.5047
107 150 -2 47.5419
108 170 -2 58.1674
109 190 -2 69.324
110 210 -2 80.9668
111 230 -2 93.0594
112 250 -2 105.572
113 270 -2 118.479
114 290 -2 131.758
115 310 -2 145.391
116 330 -2 159.36
117 350 -2 173.652
118 370 -2 188.252
119 390 -2 203.148


_v(/vg)_\0
120 10 0 4.37689
121 30 0 13.2484
122 50 0 21.6945
123 70 0 30.7342
124 90 0 40.4181
125 110 0 50.7025
126 130 0 61.5368
127 150 0 72.8761
128 170 0 84.6828
129 190 0 96.925
130 210 0 109.576
131 230 0 122.611
132 250 0 136.011
133 270 0 149.758
134 290 0 163.836
135 310 0 178.231
136 330 0 192.93
137 350 0 207.921
138 370 0 223.195
139 390 0 238.741
